date_time,plot_name,air_temp_celsius,soil_temp_celsius,humidity_percent,soil_moisture_percent,light_intensity_lux,rainfall_mm,wind_speed_kmh,atmospheric_pressure_hpa
2024-01-15 06:00:00,North Field,12.5,10.2,75.3,35.2,2500,0,5.2,1013.2
2024-01-15 12:00:00,North Field,18.3,14.5,58.1,34.8,55000,0,8.5,1012.8
2024-01-15 18:00:00,North Field,15.2,15.1,68.5,34.5,8500,0,6.3,1012.5
2024-01-16 06:00:00,North Field,11.8,10.5,78.2,38.5,2200,2.5,4.8,1014.1
2024-01-16 12:00:00,North Field,17.5,14.2,62.3,37.8,52000,0,7.2,1013.5
2024-01-16 18:00:00,North Field,14.8,14.8,71.2,37.2,7200,0,5.5,1013.2
2024-01-15 06:00:00,South Field,12.8,10.5,74.8,32.5,2600,0,5.5,1013.2
2024-01-15 12:00:00,South Field,18.5,14.8,57.5,31.8,56000,0,8.8,1012.8
2024-01-16 06:00:00,Main Plot,13.2,11.8,76.5,40.2,2400,2.5,4.5,1014.1
2024-01-16 12:00:00,Main Plot,19.2,15.5,60.8,39.5,58000,0,7.5,1013.5
